genes,Entry,Entry Name,Protein,Gene,Organism,Status,GO-Biological process,Biological process,Molecular function,Ligand
RTP4,P79350,OPRM_BOVIN,Mu-type opioid receptor,OPRM1,Bos taurus (Bovine),Reviewed,adenylate cyclase-inhibiting G protein-coupled acetylcholine receptor signaling pathway negative regulation of cAMP-mediated signaling negative regulation of cytosolic calcium ion concentration negative regulation of nitric oxide biosynthetic process negative regulation of Wnt protein secretion opioid receptor signaling pathway phospholipase C-activating G protein-coupled receptor signaling pathway positive regulation of ERK1 and ERK2 cascade positive regulation of neurogenesis regulation of NMDA receptor activity sensory perception of pain,,"G-protein coupled receptor, Receptor, Transducer",
MASP1,Q17QH6,COL11_BOVIN,Collectin-11,COLEC11,Bos taurus (Bovine),Reviewed,"antimicrobial humoral response complement activation, lectin pathway developmental process multicellular organism development","Immunity, Innate immunity",Developmental protein,"Calcium, Lectin, Mannose-binding, Metal-binding"
RTP1,E1BCB2,E1BCB2_BOVIN,Collectin-11,COLEC11,Bos taurus (Bovine),Reviewed,"antimicrobial humoral response complement activation, lectin pathway developmental process multicellular organism development","Immunity, Innate immunity",Developmental protein,"Calcium, Lectin, Mannose-binding, Metal-binding"
LOC100847189,,,,,,,,,,
ST6GAL1,A0A3Q1M347,A0A3Q1M347_BOVIN,Collectin-11,COLEC11,Bos taurus (Bovine),Reviewed,"antimicrobial humoral response complement activation, lectin pathway developmental process multicellular organism development","Immunity, Innate immunity",Developmental protein,"Calcium, Lectin, Mannose-binding, Metal-binding"
MIR2285K-3,,,,,,,,,,
ADIPOQ,Q3Y5Z3,ADIPO_BOVIN,Adiponectin,ADIPOQ,Bos taurus (Bovine),Reviewed,"brown fat cell differentiation cellular response to drug cellular response to insulin stimulus detection of oxidative stress fatty acid beta-oxidation fatty acid oxidation glucose homeostasis glucose metabolic process low-density lipoprotein particle clearance negative regulation of blood pressure negative regulation of cell migration negative regulation of DNA biosynthetic process negative regulation of ERK1 and ERK2 cascade negative regulation of fat cell differentiation negative regulation of gluconeogenesis negative regulation of granulocyte differentiation negative regulation of heterotypic cell-cell adhesion negative regulation of I-kappaB kinase/NF-kappaB signaling negative regulation of inflammatory response negative regulation of intracellular protein transport negative regulation of macrophage derived foam cell differentiation negative regulation of macrophage differentiation negative regulation of MAP kinase activity negative regulation of metanephric mesenchymal cell migration negative regulation of phagocytosis negative regulation of platelet-derived growth factor receptor-alpha signaling pathway negative regulation of platelet-derived growth factor receptor signaling pathway negative regulation of protein autophosphorylation negative regulation of receptor binding negative regulation of synaptic transmission negative regulation of transcription, DNA-templated negative regulation of tumor necrosis factor-mediated signaling pathway negative regulation of tumor necrosis factor production negative regulation of vascular associated smooth muscle cell migration negative regulation of vascular associated smooth muscle cell proliferation positive regulation of cAMP-dependent protein kinase activity positive regulation of cholesterol efflux positive regulation of fatty acid metabolic process positive regulation of glucose import positive regulation of glycogen (starch) synthase activity positive regulation of I-kappaB kinase/NF-kappaB signaling positive regulation of interleukin-8 production positive regulation of lipid transporter activity positive regulation of metanephric glomerular visceral epithelial cell development positive regulation of monocyte chemotactic protein-1 production positive regulation of myeloid cell apoptotic process positive regulation of protein kinase A signaling positive regulation of protein phosphorylation positive regulation of renal albumin absorption positive regulation of signal transduction protein localization to plasma membrane regulation of glucose metabolic process response to glucose response to tumor necrosis factor",,Hormone,
RFC4,A0A3Q1M1J3,A0A3Q1M1J3_BOVIN,Adiponectin,ADIPOQ,Bos taurus (Bovine),Reviewed,"brown fat cell differentiation cellular response to drug cellular response to insulin stimulus detection of oxidative stress fatty acid beta-oxidation fatty acid oxidation glucose homeostasis glucose metabolic process low-density lipoprotein particle clearance negative regulation of blood pressure negative regulation of cell migration negative regulation of DNA biosynthetic process negative regulation of ERK1 and ERK2 cascade negative regulation of fat cell differentiation negative regulation of gluconeogenesis negative regulation of granulocyte differentiation negative regulation of heterotypic cell-cell adhesion negative regulation of I-kappaB kinase/NF-kappaB signaling negative regulation of inflammatory response negative regulation of intracellular protein transport negative regulation of macrophage derived foam cell differentiation negative regulation of macrophage differentiation negative regulation of MAP kinase activity negative regulation of metanephric mesenchymal cell migration negative regulation of phagocytosis negative regulation of platelet-derived growth factor receptor-alpha signaling pathway negative regulation of platelet-derived growth factor receptor signaling pathway negative regulation of protein autophosphorylation negative regulation of receptor binding negative regulation of synaptic transmission negative regulation of transcription, DNA-templated negative regulation of tumor necrosis factor-mediated signaling pathway negative regulation of tumor necrosis factor production negative regulation of vascular associated smooth muscle cell migration negative regulation of vascular associated smooth muscle cell proliferation positive regulation of cAMP-dependent protein kinase activity positive regulation of cholesterol efflux positive regulation of fatty acid metabolic process positive regulation of glucose import positive regulation of glycogen (starch) synthase activity positive regulation of I-kappaB kinase/NF-kappaB signaling positive regulation of interleukin-8 production positive regulation of lipid transporter activity positive regulation of metanephric glomerular visceral epithelial cell development positive regulation of monocyte chemotactic protein-1 production positive regulation of myeloid cell apoptotic process positive regulation of protein kinase A signaling positive regulation of protein phosphorylation positive regulation of renal albumin absorption positive regulation of signal transduction protein localization to plasma membrane regulation of glucose metabolic process response to glucose response to tumor necrosis factor",,Hormone,
EIF4A2,Q3SZ65,IF4A2_BOVIN,,,,,,,,
MIR1248-1,,,,,,,,,,
KNG1,P01044,KNG1_BOVIN,Kininogen-1,KNG1,Bos taurus (Bovine),Reviewed,blood coagulation inflammatory response negative regulation of blood coagulation Gaudet P. negative regulation of endopeptidase activity Gaudet P. positive regulation of cytosolic calcium ion concentration Gaudet P. vasodilation,"Blood coagulation, Hemostasis, Inflammatory response","Protease inhibitor, Thiol protease inhibitor, Vasoactive, Vasodilator",
HRG,P33433,HRG_BOVIN,Histidine-rich glycoprotein,HRG,Bos taurus (Bovine),Reviewed,defense response to fungus fibrinolysis heme transport Gaudet P. negative regulation of angiogenesis negative regulation of blood vessel endothelial cell migration negative regulation of cell adhesion negative regulation of cell adhesion mediated by integrin negative regulation of cell growth negative regulation of cell population proliferation negative regulation of endopeptidase activity Gaudet P. negative regulation of endothelial cell chemotaxis negative regulation of fibrinolysis Gaudet P. negative regulation of lamellipodium assembly negative regulation of vascular endothelial growth factor signaling pathway platelet activation positive regulation of apoptotic process positive regulation of blood vessel remodeling positive regulation of focal adhesion assembly positive regulation of immune response to tumor cell regulation of actin cytoskeleton organization regulation of blood coagulation regulation of gene expression regulation of peptidyl-tyrosine phosphorylation regulation of platelet activation regulation of protein-containing complex assembly,"Blood coagulation, Fibrinolysis, Hemostasis",Heparin-binding,"Copper, Zinc"
FETUB,Q58D62,FETUB_BOVIN,Fetuin-B,FETUB,Bos taurus (Bovine),Reviewed,binding of sperm to zona pellucida negative regulation of endopeptidase activity single fertilization,Fertilization,"Metalloenzyme inhibitor, Metalloprotease inhibitor, Protease inhibitor",
AHSG,P12763,FETUA_BOVIN,Alpha-2-HS-glycoprotein,AHSG,Bos taurus (Bovine),Reviewed,acute-phase response negative regulation of bone mineralization negative regulation of endopeptidase activity Gaudet P. ossification positive regulation of phagocytosis regulation of inflammatory response,Mineral balance,,
LOC101906884,,,,,,,,,,
DNAJB11,Q3ZBA6,DJB11_BOVIN,DnaJ homolog subfamily B member 11,DNAJB11,Bos taurus (Bovine),Reviewed,mRNA modification negative regulation of neurogenesis protein folding protein maturation,,Chaperone,
TBCCD1,A4IF93,TBCC1_BOVIN,,,,,,,,
CRYGS,P06504,CRYGS_BOVIN,Gamma-crystallin S,CRYGS,Bos taurus (Bovine),Reviewed,lens development in camera-type eye Gaudet P. morphogenesis of an epithelium visual perception Gaudet P.,,Eye lens protein,
DGKG,A0A3Q1LYT4,A0A3Q1LYT4_BOVIN,Gamma-crystallin S,CRYGS,Bos taurus (Bovine),Reviewed,lens development in camera-type eye Gaudet P. morphogenesis of an epithelium visual perception Gaudet P.,,Eye lens protein,
ETV5,A0A4W2D3G5,A0A4W2D3G5_BOBOX,Gamma-crystallin S,CRYGS,Bos taurus (Bovine),Reviewed,lens development in camera-type eye Gaudet P. morphogenesis of an epithelium visual perception Gaudet P.,,Eye lens protein,
LOC616971,,,,,,,,,,
TRA2B,Q3ZBT6,TRA2B_BOVIN,Transformer-2 protein homolog beta,TRA2B,Bos taurus (Bovine),Reviewed,"cellular response to glucose stimulus cerebral cortex regionalization embryonic brain development mRNA splicing, via spliceosome positive regulation of mRNA splicing, via spliceosome regulation of alternative mRNA splicing, via spliceosome","mRNA processing, mRNA splicing","Activator, Repressor, RNA-binding",
TRNAE-UUC,,,,,,,,,,
IGF2BP2,Q28141,DHX9_BOVIN,ATP-dependent RNA helicase A,DHX9,Bos taurus (Bovine),Reviewed,"alternative mRNA splicing, via spliceosome cellular response to exogenous dsRNA cellular response to tumor necrosis factor CRD-mediated mRNA stabilization DNA duplex unwinding Zhang S. DNA replication DNA-templated transcription, termination DNA-templated viral transcription G-quadruplex DNA unwinding inflammatory response innate immune response mRNA transport positive regulation of cytoplasmic translation positive regulation of DNA repair positive regulation of DNA replication positive regulation of DNA topoisomerase (ATP-hydrolyzing) activity positive regulation of fibroblast proliferation positive regulation of gene silencing by miRNA positive regulation of interferon-alpha production positive regulation of interferon-beta production positive regulation of interleukin-6 production positive regulation of NF-kappaB transcription factor activity positive regulation of polysome binding positive regulation of response to cytokine stimulus positive regulation of RNA export from nucleus positive regulation of transcription by RNA polymerase II positive regulation of tumor necrosis factor production positive regulation of viral transcription positive regulation of viral translation protein localization to cytoplasmic stress granule regulation of cytoplasmic translation regulation of mRNA processing rhythmic process RNA secondary structure unwinding small RNA loading onto RISC targeting of mRNA for destruction involved in RNA interference","Biological rhythms, DNA replication, Immunity, Inflammatory response, Innate immunity, mRNA processing, mRNA splicing, mRNA transport, RNA-mediated gene silencing, Transcription, Transcription regulation, Transcription termination, Translation regulation, Transport","Activator, DNA-binding, Helicase, Hydrolase, RNA-binding","ATP-binding, Manganese, Metal-binding, Nucleotide-binding"
SENP2,P18246,CXA1_BOVIN,Gap junction alpha-1 protein,GJA1,Bos taurus (Bovine),Reviewed,adult heart development ATP transport blood vessel morphogenesis bone development bone remodeling cell-cell signaling cell communication cellular protein localization embryonic heart tube development epithelial cell maturation establishment of mitotic spindle orientation heart development heart looping in utero embryonic development microtubule-based transport negative regulation of cell growth negative regulation of cell population proliferation negative regulation of gonadotropin secretion negative regulation of trophoblast cell migration neuron migration neuron projection morphogenesis positive regulation of gene expression positive regulation of I-kappaB kinase/NF-kappaB signaling positive regulation of mesodermal cell differentiation positive regulation of morphogenesis of an epithelium positive regulation of protein catabolic process positive regulation of stem cell proliferation positive regulation of striated muscle tissue development positive regulation of vascular associated smooth muscle cell proliferation protein complex oligomerization regulation of apoptotic process regulation of heart contraction response to pH signal transduction skeletal muscle tissue regeneration spermatogenesis,,,
LIPH,Q3SZ79,LIPC_BOVIN,Hepatic triacylglycerol lipase,LIPC,Bos taurus (Bovine),Reviewed,cholesterol homeostasis cholesterol metabolic process cholesterol transport fatty acid biosynthetic process Gaudet P. lipid catabolic process Gaudet P. triglyceride catabolic process Gaudet P.,"Lipid degradation, Lipid metabolism","Heparin-binding, Hydrolase",
TMEM41A,Q08D99,TM41A_BOVIN,,,,,,,,
MAP3K13,A7MBB4,M3K13_BOVIN,Mitogen-activated protein kinase kinase kinase 13,MAP3K13,Bos taurus (Bovine),Reviewed,activation of JUN kinase activity Gaudet P. positive regulation of NF-kappaB transcription factor activity Gaudet P. protein autophosphorylation,,"Kinase, Serine/threonine-protein kinase, Transferase","ATP-binding, Magnesium, Metal-binding, Nucleotide-binding"
EHHADH,E1BMH4,E1BMH4_BOVIN,Mitogen-activated protein kinase kinase kinase 13,MAP3K13,Bos taurus (Bovine),Reviewed,activation of JUN kinase activity Gaudet P. positive regulation of NF-kappaB transcription factor activity Gaudet P. protein autophosphorylation,,"Kinase, Serine/threonine-protein kinase, Transferase","ATP-binding, Magnesium, Metal-binding, Nucleotide-binding"
EPHB1,F1MII5,F1MII5_BOVIN,Mitogen-activated protein kinase kinase kinase 13,MAP3K13,Bos taurus (Bovine),Reviewed,activation of JUN kinase activity Gaudet P. positive regulation of NF-kappaB transcription factor activity Gaudet P. protein autophosphorylation,,"Kinase, Serine/threonine-protein kinase, Transferase","ATP-binding, Magnesium, Metal-binding, Nucleotide-binding"
KY,P80025,PERL_BOVIN,Lactoperoxidase,LPO,Bos taurus (Bovine),Reviewed,antibacterial humoral response Thomas E.L. defense response to bacterium Gaudet P. hydrogen peroxide catabolic process Aune T.M. response to oxidative stress,Hydrogen peroxide,"Antibiotic, Antimicrobial, Oxidoreductase, Peroxidase","Calcium, Heme, Iron, Metal-binding"
CEP63,Q5E9Y0,CDK2_BOVIN,Cyclin-dependent kinase 2,CDK2,Bos taurus (Bovine),Reviewed,"cell division DNA repair G1/S transition of mitotic cell cycle Gaudet P. meiotic cell cycle negative regulation of transcription by RNA polymerase II peptidyl-serine phosphorylation positive regulation of cell population proliferation Gaudet P. positive regulation of DNA-dependent DNA replication initiation positive regulation of transcription, DNA-templated potassium ion transport protein phosphorylation regulation of G2/M transition of mitotic cell cycle Gaudet P. regulation of gene expression Gaudet P. signal transduction Gaudet P.","Cell cycle, Cell division, DNA damage, DNA repair, Meiosis, Mitosis","Kinase, Serine/threonine-protein kinase, Transferase","ATP-binding, Magnesium, Metal-binding, Nucleotide-binding"
ANAPC13,Q2NKV2,APC13_BOVIN,Anaphase-promoting complex subunit 13,ANAPC13,Bos taurus (Bovine),Reviewed,cell cycle cell division protein K11-linked ubiquitination,"Cell cycle, Cell division, Mitosis, Ubl conjugation pathway",,
AMOTL2,F1MRK3,AMOL2_BOVIN,Angiomotin-like protein 2,AMOTL2,Bos taurus (Bovine),Reviewed,actin cytoskeleton organization Gaudet P. angiogenesis Gaudet P. establishment of cell polarity involved in ameboidal cell migration Gaudet P. hippo signaling Gaudet P. regulation of cell migration Gaudet P. Wnt signaling pathway,Wnt signaling pathway,,
RYK,A0A3Q1N0Q2,A0A3Q1N0Q2_BOVIN,Angiomotin-like protein 2,AMOTL2,Bos taurus (Bovine),Reviewed,actin cytoskeleton organization Gaudet P. angiogenesis Gaudet P. establishment of cell polarity involved in ameboidal cell migration Gaudet P. hippo signaling Gaudet P. regulation of cell migration Gaudet P. Wnt signaling pathway,Wnt signaling pathway,,
SLCO2A1,F1MQ45,F1MQ45_BOVIN,Angiomotin-like protein 2,AMOTL2,Bos taurus (Bovine),Reviewed,actin cytoskeleton organization Gaudet P. angiogenesis Gaudet P. establishment of cell polarity involved in ameboidal cell migration Gaudet P. hippo signaling Gaudet P. regulation of cell migration Gaudet P. Wnt signaling pathway,Wnt signaling pathway,,
RAB6B,A6QR46,RAB6B_BOVIN,Ras-related protein Rab-6B,RAB6B,Bos taurus (Bovine),Reviewed,protein transport vesicle-mediated transport,"ER-Golgi transport, Protein transport, Transport",,"GTP-binding, Nucleotide-binding"
TF,P00711,LALBA_BOVIN,Alpha-lactalbumin,LALBA,Bos taurus (Bovine),Reviewed,lactose biosynthetic process response to 11-deoxycorticosterone Shamay A. response to dehydroepiandrosterone Shamay A. response to estradiol Shamay A. response to progesterone Shamay A.,Lactose biosynthesis,Milk protein,"Calcium, Metal-binding"
LOC525947,A0A3Q1NEQ0,A0A3Q1NEQ0_BOVIN,Alpha-lactalbumin,LALBA,Bos taurus (Bovine),Reviewed,lactose biosynthetic process response to 11-deoxycorticosterone Shamay A. response to dehydroepiandrosterone Shamay A. response to estradiol Shamay A. response to progesterone Shamay A.,Lactose biosynthesis,Milk protein,"Calcium, Metal-binding"
TOPBP1,A7Z019,SMCA4_BOVIN,Transcription activator BRG1,SMARCA4,Bos taurus (Bovine),Reviewed,ATP-dependent chromatin remodeling Gaudet P. nervous system development positive regulation of transcription by RNA polymerase II,"Neurogenesis, Transcription, Transcription regulation","Activator, Chromatin regulator, Helicase, Hydrolase, Repressor, RNA-binding","ATP-binding, Nucleotide-binding"
RIPK4,A6QLV0,A6QLV0_BOVIN,Transcription activator BRG1,SMARCA4,Bos taurus (Bovine),Reviewed,ATP-dependent chromatin remodeling Gaudet P. nervous system development positive regulation of transcription by RNA polymerase II,"Neurogenesis, Transcription, Transcription regulation","Activator, Chromatin regulator, Helicase, Hydrolase, Repressor, RNA-binding","ATP-binding, Nucleotide-binding"
PRDM15,E1BEG7,E1BEG7_BOVIN,Transcription activator BRG1,SMARCA4,Bos taurus (Bovine),Reviewed,ATP-dependent chromatin remodeling Gaudet P. nervous system development positive regulation of transcription by RNA polymerase II,"Neurogenesis, Transcription, Transcription regulation","Activator, Chromatin regulator, Helicase, Hydrolase, Repressor, RNA-binding","ATP-binding, Nucleotide-binding"
C2CD2,A0A4W2EA77,A0A4W2EA77_BOBOX,Transcription activator BRG1,SMARCA4,Bos taurus (Bovine),Reviewed,ATP-dependent chromatin remodeling Gaudet P. nervous system development positive regulation of transcription by RNA polymerase II,"Neurogenesis, Transcription, Transcription regulation","Activator, Chromatin regulator, Helicase, Hydrolase, Repressor, RNA-binding","ATP-binding, Nucleotide-binding"
ZBTB21,A2VDQ3,A2VDQ3_BOVIN,Transcription activator BRG1,SMARCA4,Bos taurus (Bovine),Reviewed,ATP-dependent chromatin remodeling Gaudet P. nervous system development positive regulation of transcription by RNA polymerase II,"Neurogenesis, Transcription, Transcription regulation","Activator, Chromatin regulator, Helicase, Hydrolase, Repressor, RNA-binding","ATP-binding, Nucleotide-binding"
UMODL1,F1MN54,F1MN54_BOVIN,Transcription activator BRG1,SMARCA4,Bos taurus (Bovine),Reviewed,ATP-dependent chromatin remodeling Gaudet P. nervous system development positive regulation of transcription by RNA polymerase II,"Neurogenesis, Transcription, Transcription regulation","Activator, Chromatin regulator, Helicase, Hydrolase, Repressor, RNA-binding","ATP-binding, Nucleotide-binding"
ABCG1,P79132,CAV1_BOVIN,,,,,,,,
TFF3,A8YXX7,TFF3_BOVIN,,,,,,,,
TFF2,F6QX08,F6QX08_BOVIN,,,,,,,,
TFF1,P49884,ESR1_BOVIN,Estrogen receptor,ESR1,Bos taurus (Bovine),Reviewed,"androgen metabolic process antral ovarian follicle growth cellular response to estradiol stimulus cellular response to estrogen stimulus epithelial cell development epithelial cell proliferation involved in mammary gland duct elongation intracellular estrogen receptor signaling pathway intracellular steroid hormone receptor signaling pathway male gonad development mammary gland alveolus development mammary gland branching involved in pregnancy negative regulation of DNA-binding transcription factor activity negative regulation of I-kappaB kinase/NF-kappaB signaling negative regulation of production of miRNAs involved in gene silencing by miRNA negative regulation of transcription by RNA polymerase II phospholipase C-activating G protein-coupled receptor signaling pathway positive regulation of cytosolic calcium ion concentration positive regulation of DNA-binding transcription factor activity positive regulation of fibroblast proliferation positive regulation of nitric oxide biosynthetic process positive regulation of nitric-oxide synthase activity positive regulation of phospholipase C activity positive regulation of RNA polymerase II transcription preinitiation complex assembly positive regulation of transcription, DNA-templated prostate epithelial cord arborization involved in prostate glandular acinus morphogenesis prostate epithelial cord elongation protein localization to chromatin regulation of apoptotic process regulation of branching involved in prostate gland morphogenesis regulation of inflammatory response regulation of toll-like receptor signaling pathway regulation of transcription by RNA polymerase II Gaudet P. stem cell differentiation uterus development vagina development","Transcription, Transcription regulation","Activator, DNA-binding, Receptor","Lipid-binding, Metal-binding, Steroid-binding, Zinc"
TMPRSS3,F1MYZ1,F1MYZ1_BOVIN,Estrogen receptor,ESR1,Bos taurus (Bovine),Reviewed,"androgen metabolic process antral ovarian follicle growth cellular response to estradiol stimulus cellular response to estrogen stimulus epithelial cell development epithelial cell proliferation involved in mammary gland duct elongation intracellular estrogen receptor signaling pathway intracellular steroid hormone receptor signaling pathway male gonad development mammary gland alveolus development mammary gland branching involved in pregnancy negative regulation of DNA-binding transcription factor activity negative regulation of I-kappaB kinase/NF-kappaB signaling negative regulation of production of miRNAs involved in gene silencing by miRNA negative regulation of transcription by RNA polymerase II phospholipase C-activating G protein-coupled receptor signaling pathway positive regulation of cytosolic calcium ion concentration positive regulation of DNA-binding transcription factor activity positive regulation of fibroblast proliferation positive regulation of nitric oxide biosynthetic process positive regulation of nitric-oxide synthase activity positive regulation of phospholipase C activity positive regulation of RNA polymerase II transcription preinitiation complex assembly positive regulation of transcription, DNA-templated prostate epithelial cord arborization involved in prostate glandular acinus morphogenesis prostate epithelial cord elongation protein localization to chromatin regulation of apoptotic process regulation of branching involved in prostate gland morphogenesis regulation of inflammatory response regulation of toll-like receptor signaling pathway regulation of transcription by RNA polymerase II Gaudet P. stem cell differentiation uterus development vagina development","Transcription, Transcription regulation","Activator, DNA-binding, Receptor","Lipid-binding, Metal-binding, Steroid-binding, Zinc"
